2021-07-23T12:14:26+02:00
Running ./lmv_benchmark
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.94, 0.71, 0.41
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_lmv_2d_vanilla/64/1",19687,0.0355237,0.0355229,ms,,,,,
"BM_lmv_2d_vanilla/128/1",4915,0.141968,0.141962,ms,,,,,
"BM_lmv_2d_vanilla/256/1",1220,0.567122,0.567107,ms,,,,,
"BM_lmv_2d_vanilla/512/1",308,2.2629,2.26284,ms,,,,,
"BM_lmv_2d_vanilla/1024/1",76,9.24248,9.24216,ms,,,,,
"BM_lmv_2d_vanilla/2048/1",17,41.5309,41.5291,ms,,,,,
"BM_lmv_2d_vanilla/4096/1",4,165.351,165.343,ms,,,,,
"BM_lmv_2d_vanilla/8192/1",1,661.804,661.774,ms,,,,,
"BM_lmv_2d_vanilla/64/3",5524,0.125524,0.125519,ms,,,,,
"BM_lmv_2d_vanilla/128/3",1332,0.516669,0.516659,ms,,,,,
"BM_lmv_2d_vanilla/256/3",335,2.09053,2.09045,ms,,,,,
"BM_lmv_2d_vanilla/512/3",82,8.43058,8.43024,ms,,,,,
"BM_lmv_2d_vanilla/1024/3",20,34.2922,34.2904,ms,,,,,
"BM_lmv_2d_vanilla/2048/3",4,161.328,161.32,ms,,,,,
"BM_lmv_2d_vanilla/4096/3",1,647.236,647.219,ms,,,,,
"BM_lmv_2d_vanilla/8192/3",1,2843.39,2843.29,ms,,,,,
"BM_lmv_2d_vanilla/64/5",2274,0.309185,0.309174,ms,,,,,
"BM_lmv_2d_vanilla/128/5",537,1.29222,1.29216,ms,,,,,
"BM_lmv_2d_vanilla/256/5",131,5.2924,5.29232,ms,,,,,
"BM_lmv_2d_vanilla/512/5",29,23.8179,23.8173,ms,,,,,
"BM_lmv_2d_vanilla/1024/5",7,92.7703,92.7658,ms,,,,,
"BM_lmv_2d_vanilla/2048/5",2,397.168,397.125,ms,,,,,
"BM_lmv_2d_vanilla/4096/5",1,1690.9,1690.83,ms,,,,,
"BM_lmv_2d_vanilla/8192/5",1,6914.01,6913.76,ms,,,,,
"BM_lmv_2d_vanilla/64/7",1189,0.592263,0.592244,ms,,,,,
"BM_lmv_2d_vanilla/128/7",279,2.53246,2.53241,ms,,,,,
"BM_lmv_2d_vanilla/256/7",68,10.5649,10.5643,ms,,,,,
"BM_lmv_2d_vanilla/512/7",15,47.8542,47.853,ms,,,,,
"BM_lmv_2d_vanilla/1024/7",4,178.926,178.921,ms,,,,,
"BM_lmv_2d_vanilla/2048/7",1,741.031,741.006,ms,,,,,
"BM_lmv_2d_vanilla/4096/7",1,3000.68,3000.58,ms,,,,,
"BM_lmv_2d_vanilla/8192/7",1,12157.2,12156.9,ms,,,,,
"BM_lmv_2d_blocked/64/1",18474,0.0382489,0.0382477,ms,,,,,
"BM_lmv_2d_blocked/128/1",4436,0.151895,0.151892,ms,,,,,
"BM_lmv_2d_blocked/256/1",1121,0.642699,0.642576,ms,,,,,
"BM_lmv_2d_blocked/512/1",287,2.47029,2.46978,ms,,,,,
"BM_lmv_2d_blocked/1024/1",67,10.1801,10.1774,ms,,,,,
"BM_lmv_2d_blocked/2048/1",16,44.1966,44.1816,ms,,,,,
"BM_lmv_2d_blocked/4096/1",4,175.851,175.803,ms,,,,,
"BM_lmv_2d_blocked/8192/1",1,703.167,702.984,ms,,,,,
"BM_lmv_2d_blocked/64/3",5082,0.136987,0.136971,ms,,,,,
"BM_lmv_2d_blocked/128/3",1227,0.561627,0.561558,ms,,,,,
"BM_lmv_2d_blocked/256/3",305,2.28209,2.28169,ms,,,,,
"BM_lmv_2d_blocked/512/3",75,10.3622,10.36,ms,,,,,
"BM_lmv_2d_blocked/1024/3",18,37.4518,37.4508,ms,,,,,
"BM_lmv_2d_blocked/2048/3",4,177.698,177.584,ms,,,,,
"BM_lmv_2d_blocked/4096/3",1,707.899,707.883,ms,,,,,
"BM_lmv_2d_blocked/8192/3",1,3076.29,3075.31,ms,,,,,
"BM_lmv_2d_blocked/64/5",2039,0.360089,0.360066,ms,,,,,
"BM_lmv_2d_blocked/128/5",499,1.45778,1.45769,ms,,,,,
"BM_lmv_2d_blocked/256/5",119,6.06579,6.06563,ms,,,,,
"BM_lmv_2d_blocked/512/5",28,24.6823,24.681,ms,,,,,
"BM_lmv_2d_blocked/1024/5",7,97.5013,97.4957,ms,,,,,
"BM_lmv_2d_blocked/2048/5",2,412.24,412.218,ms,,,,,
"BM_lmv_2d_blocked/4096/5",1,1765.48,1765.39,ms,,,,,
"BM_lmv_2d_blocked/8192/5",1,7269,7268.56,ms,,,,,
"BM_lmv_2d_blocked/64/7",1172,0.594772,0.59475,ms,,,,,
"BM_lmv_2d_blocked/128/7",277,2.53,2.52994,ms,,,,,
"BM_lmv_2d_blocked/256/7",67,10.5581,10.5571,ms,,,,,
"BM_lmv_2d_blocked/512/7",16,44.0854,44.0835,ms,,,,,
"BM_lmv_2d_blocked/1024/7",4,177.555,177.544,ms,,,,,
"BM_lmv_2d_blocked/2048/7",1,742.391,742.353,ms,,,,,
"BM_lmv_2d_blocked/4096/7",1,3052.99,3052.86,ms,,,,,
"BM_lmv_2d_blocked/8192/7",1,12413.4,12412.8,ms,,,,,
"BM_lmv_2d_vectorized/64/1",11927,0.0584673,0.0584658,ms,,,,,
"BM_lmv_2d_vectorized/128/1",2967,0.235207,0.235198,ms,,,,,
"BM_lmv_2d_vectorized/256/1",742,0.944002,0.943942,ms,,,,,
"BM_lmv_2d_vectorized/512/1",184,3.78262,3.78251,ms,,,,,
"BM_lmv_2d_vectorized/1024/1",46,15.3377,15.3365,ms,,,,,
"BM_lmv_2d_vectorized/2048/1",11,61.3685,61.3651,ms,,,,,
"BM_lmv_2d_vectorized/4096/1",3,244.544,244.527,ms,,,,,
"BM_lmv_2d_vectorized/8192/1",1,975.554,975.504,ms,,,,,
"BM_lmv_2d_vectorized/64/3",6016,0.115911,0.115907,ms,,,,,
"BM_lmv_2d_vectorized/128/3",1476,0.473672,0.473657,ms,,,,,
"BM_lmv_2d_vectorized/256/3",362,1.92038,1.92032,ms,,,,,
"BM_lmv_2d_vectorized/512/3",90,7.75627,7.75593,ms,,,,,
"BM_lmv_2d_vectorized/1024/3",22,32.0602,32.0583,ms,,,,,
"BM_lmv_2d_vectorized/2048/3",6,128.871,128.86,ms,,,,,
"BM_lmv_2d_vectorized/4096/3",1,504.05,504.013,ms,,,,,
"BM_lmv_2d_vectorized/8192/3",1,2027.06,2026.95,ms,,,,,
"BM_lmv_2d_vectorized/64/5",3424,0.204777,0.204768,ms,,,,,
"BM_lmv_2d_vectorized/128/5",819,0.849684,0.849649,ms,,,,,
"BM_lmv_2d_vectorized/256/5",201,3.47582,3.47567,ms,,,,,
"BM_lmv_2d_vectorized/512/5",47,14.6397,14.639,ms,,,,,
"BM_lmv_2d_vectorized/1024/5",12,58.932,58.9295,ms,,,,,
"BM_lmv_2d_vectorized/2048/5",3,236.485,236.466,ms,,,,,
"BM_lmv_2d_vectorized/4096/5",1,998.656,998.604,ms,,,,,
"BM_lmv_2d_vectorized/8192/5",1,4441.57,4441.33,ms,,,,,
"BM_lmv_2d_vectorized/64/7",2018,0.345532,0.345527,ms,,,,,
"BM_lmv_2d_vectorized/128/7",503,1.39153,1.3915,ms,,,,,
"BM_lmv_2d_vectorized/256/7",121,5.80658,5.80627,ms,,,,,
"BM_lmv_2d_vectorized/512/7",28,24.1209,24.1193,ms,,,,,
"BM_lmv_2d_vectorized/1024/7",7,97.8803,97.8754,ms,,,,,
"BM_lmv_2d_vectorized/2048/7",2,397.641,397.616,ms,,,,,
"BM_lmv_2d_vectorized/4096/7",1,1616.79,1616.69,ms,,,,,
"BM_lmv_2d_vectorized/8192/7",1,7065.72,7064.83,ms,,,,,
"BM_lmv_2d_vectorized_blocked/64/1",11285,0.0616159,0.0616069,ms,,,,,
"BM_lmv_2d_vectorized_blocked/128/1",2810,0.24916,0.249131,ms,,,,,
"BM_lmv_2d_vectorized_blocked/256/1",695,1.00451,1.00441,ms,,,,,
"BM_lmv_2d_vectorized_blocked/512/1",174,4.03671,4.0364,ms,,,,,
"BM_lmv_2d_vectorized_blocked/1024/1",42,16.6276,16.6236,ms,,,,,
"BM_lmv_2d_vectorized_blocked/2048/1",11,66.2575,66.2428,ms,,,,,
"BM_lmv_2d_vectorized_blocked/4096/1",3,260.313,260.233,ms,,,,,
"BM_lmv_2d_vectorized_blocked/8192/1",1,1043.4,1043.14,ms,,,,,
"BM_lmv_2d_vectorized_blocked/64/3",5880,0.118093,0.118081,ms,,,,,
"BM_lmv_2d_vectorized_blocked/128/3",1450,0.481678,0.481621,ms,,,,,
"BM_lmv_2d_vectorized_blocked/256/3",358,1.96135,1.96104,ms,,,,,
"BM_lmv_2d_vectorized_blocked/512/3",88,7.98297,7.98143,ms,,,,,
"BM_lmv_2d_vectorized_blocked/1024/3",21,32.6154,32.6072,ms,,,,,
"BM_lmv_2d_vectorized_blocked/2048/3",5,131.404,131.369,ms,,,,,
"BM_lmv_2d_vectorized_blocked/4096/3",1,521.121,520.943,ms,,,,,
"BM_lmv_2d_vectorized_blocked/8192/3",1,2057.24,2056.87,ms,,,,,
"BM_lmv_2d_vectorized_blocked/64/5",3347,0.208287,0.208268,ms,,,,,
"BM_lmv_2d_vectorized_blocked/128/5",802,0.86552,0.865442,ms,,,,,
"BM_lmv_2d_vectorized_blocked/256/5",194,3.82273,3.82192,ms,,,,,
"BM_lmv_2d_vectorized_blocked/512/5",44,15.6297,15.6267,ms,,,,,
"BM_lmv_2d_vectorized_blocked/1024/5",11,62.051,62.0371,ms,,,,,
"BM_lmv_2d_vectorized_blocked/2048/5",3,251.32,251.267,ms,,,,,
"BM_lmv_2d_vectorized_blocked/4096/5",1,1035.27,1035.05,ms,,,,,
"BM_lmv_2d_vectorized_blocked/8192/5",1,4608.19,4607.39,ms,,,,,
"BM_lmv_2d_vectorized_blocked/64/7",2160,0.323622,0.32359,ms,,,,,
"BM_lmv_2d_vectorized_blocked/128/7",508,1.37533,1.37518,ms,,,,,
"BM_lmv_2d_vectorized_blocked/256/7",121,5.73579,5.73511,ms,,,,,
"BM_lmv_2d_vectorized_blocked/512/7",30,23.6789,23.6756,ms,,,,,
"BM_lmv_2d_vectorized_blocked/1024/7",7,95.855,95.8337,ms,,,,,
"BM_lmv_2d_vectorized_blocked/2048/7",2,388.612,388.534,ms,,,,,
"BM_lmv_2d_vectorized_blocked/4096/7",1,1660.61,1660.23,ms,,,,,
"BM_lmv_2d_vectorized_blocked/8192/7",1,7355.79,7354.4,ms,,,,,
"BM_lmv_2d_vectorized_buffered/64/1",19438,0.0359496,0.0359457,ms,,,,,
"BM_lmv_2d_vectorized_buffered/128/1",4792,0.142229,0.142213,ms,,,,,
"BM_lmv_2d_vectorized_buffered/256/1",1126,0.565903,0.56586,ms,,,,,
"BM_lmv_2d_vectorized_buffered/512/1",303,2.27174,2.27133,ms,,,,,
"BM_lmv_2d_vectorized_buffered/1024/1",71,9.28321,9.28093,ms,,,,,
"BM_lmv_2d_vectorized_buffered/2048/1",18,39.4727,39.4625,ms,,,,,
"BM_lmv_2d_vectorized_buffered/4096/1",4,154.467,154.417,ms,,,,,
"BM_lmv_2d_vectorized_buffered/8192/1",1,611.596,611.414,ms,,,,,
"BM_lmv_2d_vectorized_buffered/64/3",10943,0.0635539,0.0635466,ms,,,,,
"BM_lmv_2d_vectorized_buffered/128/3",2753,0.254309,0.254291,ms,,,,,
"BM_lmv_2d_vectorized_buffered/256/3",684,1.02071,1.02061,ms,,,,,
"BM_lmv_2d_vectorized_buffered/512/3",170,4.09837,4.09782,ms,,,,,
"BM_lmv_2d_vectorized_buffered/1024/3",41,17.1562,17.1519,ms,,,,,
"BM_lmv_2d_vectorized_buffered/2048/3",10,68.6907,68.6738,ms,,,,,
