2021-07-13T22:00:28+02:00
Running ./benchmark
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.19, 0.38, 0.51
----------------------------------------------------------------------------------------
Benchmark                                              Time             CPU   Iterations
----------------------------------------------------------------------------------------
BM_lmv_2d/64/1                                     0.048 ms        0.048 ms        14455
BM_lmv_2d/128/1                                    0.193 ms        0.193 ms         3606
BM_lmv_2d/256/1                                    0.761 ms        0.760 ms          908
BM_lmv_2d/512/1                                     3.10 ms         3.10 ms          226
BM_lmv_2d/1024/1                                    12.4 ms         12.3 ms           56
BM_lmv_2d/2048/1                                    56.2 ms         56.2 ms           12
BM_lmv_2d/4096/1                                     224 ms          224 ms            3
BM_lmv_2d/8192/1                                     896 ms          895 ms            1
BM_lmv_2d/64/3                                     0.173 ms        0.173 ms         4026
BM_lmv_2d/128/3                                    0.702 ms        0.702 ms          986
BM_lmv_2d/256/3                                     2.84 ms         2.84 ms          247
BM_lmv_2d/512/3                                     11.5 ms         11.5 ms           61
BM_lmv_2d/1024/3                                    46.1 ms         46.1 ms           15
BM_lmv_2d/2048/3                                     203 ms          203 ms            3
BM_lmv_2d/4096/3                                     830 ms          829 ms            1
BM_lmv_2d/8192/3                                    3508 ms         3507 ms            1
BM_lmv_2d/64/5                                     0.415 ms        0.414 ms         1693
BM_lmv_2d/128/5                                     1.74 ms         1.74 ms          400
BM_lmv_2d/256/5                                     7.04 ms         7.04 ms           98
BM_lmv_2d/512/5                                     29.7 ms         29.6 ms           24
BM_lmv_2d/1024/5                                     118 ms          118 ms            6
BM_lmv_2d/2048/5                                     483 ms          483 ms            2
BM_lmv_2d/4096/5                                    1950 ms         1949 ms            1
BM_lmv_2d/8192/5                                    8068 ms         8063 ms            1
BM_lmv_2d_blocked<4, 32>/64/1                      0.008 ms        0.008 ms        85304
BM_lmv_2d_blocked<4, 32>/128/1                     0.032 ms        0.032 ms        21700
BM_lmv_2d_blocked<4, 32>/256/1                     0.132 ms        0.132 ms         5163
BM_lmv_2d_blocked<4, 32>/512/1                     0.589 ms        0.588 ms         1122
BM_lmv_2d_blocked<4, 32>/1024/1                     4.76 ms         4.76 ms          135
BM_lmv_2d_blocked<4, 32>/2048/1                     23.5 ms         23.5 ms           30
BM_lmv_2d_blocked<4, 32>/4096/1                     96.2 ms         96.1 ms            7
BM_lmv_2d_blocked<4, 32>/8192/1                      420 ms          419 ms            2
BM_lmv_2d_blocked<4, 32>/64/3                      0.043 ms        0.043 ms        16277
BM_lmv_2d_blocked<4, 32>/128/3                     0.187 ms        0.187 ms         3737
BM_lmv_2d_blocked<4, 32>/256/3                     0.784 ms        0.784 ms          892
BM_lmv_2d_blocked<4, 32>/512/3                      3.27 ms         3.27 ms          213
BM_lmv_2d_blocked<4, 32>/1024/3                     15.9 ms         15.9 ms           44
